text_1	text_2	y
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Schwierigkeiten zu entspannen	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Rastlosigkeit, so dass Stillsitzen schwer fällt	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Schnelle Verärgerung oder Gereiztheit	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Gefühl der Angst, so als würde etwas Schlimmes passieren	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Sentirse nervioso/a, intranquilo/a o con los nervios de punta	1
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	No poder dejar de preocuparse o no poder controlar la preocupación	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Preocuparse demasiado por diferentes cosas	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Dificultad para relajarse	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Estar tan inquieto/a que es difícil permanecer sentado/a tranquilamente	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Molestarse o ponerse irritable fácilmente	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Sentir miedo como si algo terrible pudiera pasar	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Вы нервничали, тревожились или испытывали сильный стресс	1
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Вы были неспособны успокоиться или контролировать свое волнение	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Вы слишком сильно волновались по различным поводам	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Вам было трудно расслабиться	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Вы были настолько суетливы, что Вам было тяжело усидеть на месте	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Вы легко злились или раздражались	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Вы испытывали страх, словно должно произойти нечто ужасное	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	感觉紧张、焦虑或不安	1
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	无法停止或控制担忧	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	对各种事情担心太多 	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	难以放松 	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	坐立不安，以至于很难安静地坐下来	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	变得容易生气或急躁 	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	感觉害怕，好像有可怕的事情要发生一样	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Senuagtig, angstig of gespanne gevoel	1
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Kon nie ophou om bekommerd te wees nie	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Oormatig bekommerd oor verskillende goed	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Sukkel om te ontspan	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Só rusteloos dat dit moeilik is om stil te sit	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Raak maklik vies of geïrriteerd	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Voel bang asof iets aakligs kan gebeur 	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Gibati og nerbiyos, kabalaka, o kahadlok	1
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Dili makahunong o makakontrol sa pagkabalaka	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Sobra nga nabalaka bahin sa lain-lain nga mga butang	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Lisod pagkalma	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Nag-alindasay pag-ayo nga lisod pagpabilin nga maglingkod	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Nahimong dali maglagot o iritable	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Nahadlok nga basin naay dautan nga mahitabo 	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	ತಳಮಳ, ಆತಂಕ ಅಥ ಾ ಬಹಳ ΅ಾತರದ ಅನುಭವ	1
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	‷ಂ⁀ಸುವ⁳ದನುΊ ⁄⁌ῤಸಲು ಅಥ ಾ ⁄ಯಂ⁀ῢಸಲು ಧῡ ಾಗ⁂ರುವ⁳ದು	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	⁧ೕ⁫ ⁧ೕ⁫ ⁎ಷಯಗಳ ಬ⁕Ὴ ಅ⁀ ಾ‵ ‷ಂ⁀ಸುವ⁳ದು	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	⁄ ಾಳ ಾ‵ರಲು ⁠ೂಂದ⁫	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	ಒಂದು ಕ⁝ ⁑Ῐರ ಾ‵ ಕು⁍ತು⁓ೂಳῥಲೂ ಆಗದಷುῒ ಚಡಪ‽ಸುವ⁳ದು	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	ಸುಲಭ ಾ‵ ⁓ೂೕಪ⁕ೂಳುῥವ⁳ದು ಅಥ ಾ ″⁋″⁋ ಾಗುವ⁳ದು	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	ಏ῿ಾದರೂ ಅ῿ಾಹುತ ಸಂಭ⁎ಸುತῗ⁢ ಎಂದು ⁲ದರುವ⁳ದು	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	הרגשתי עצבני, חרד או מתוח מאוד	1
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	לא הייתי מסוגל להפסיק לדאוג או לשלוט בדאגה	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	הייתי מודאג יותר מידי בנוגע לדברים שונים	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	התקשיתי להירגע	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	הייתי כל כך חסר מנוחה שהיה לי קשה לשבת מבלי לנוע	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	הייתי מתעצבן או מתרגז בקלות	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	פחדתי כאילו משהו נורא עלול לקרות	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Følt deg nervøs, engstelig eller veldig stresset	1
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Ikke klart å slutte å bekymre deg eller kontrolleren bekymringene dine	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Bekymret deg for mye om ulike ting	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Vansker med å slappe av	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Vært så rastløs at det har vært vanskelig å sitte stille	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Blitt lett sint eller irritert	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Følt deg redd som om noe forferdelig kunne komme til å skje	0
Não ser capaz de impedir ou de controlar as preocupações	Preocupar-se muito com diversas coisas	0
Não ser capaz de impedir ou de controlar as preocupações	Dificuldade para relaxar	0
Não ser capaz de impedir ou de controlar as preocupações	Ficar tão agitado/a que se torna difícil permanecer sentado/a	0
Não ser capaz de impedir ou de controlar as preocupações	Ficar facilmente aborrecido/a ou irritado/a	0
Não ser capaz de impedir ou de controlar as preocupações	Sentir medo como se algo horrível fosse acontecer	0
Não ser capaz de impedir ou de controlar as preocupações	Feeling nervous, anxious, or on edge	0
Não ser capaz de impedir ou de controlar as preocupações	Not being able to stop or control worrying	1
Não ser capaz de impedir ou de controlar as preocupações	Worrying too much about different things	0
Não ser capaz de impedir ou de controlar as preocupações	Trouble relaxing	0
Não ser capaz de impedir ou de controlar as preocupações	Being so restless that it is hard to sit still	0
Não ser capaz de impedir ou de controlar as preocupações	Becoming easily annoyed or irritable	0
Não ser capaz de impedir ou de controlar as preocupações	Feeling afraid, as if something awful might happen	0
Não ser capaz de impedir ou de controlar as preocupações	Sentiment de nervosité, d’anxiété ou de tension	0
Não ser capaz de impedir ou de controlar as preocupações	Incapable d’arrêter de vous inquiéter ou de contrôler vos inquiétudes	1
Não ser capaz de impedir ou de controlar as preocupações	Inquiétudes excessives à propos de tout et de rien	0
Não ser capaz de impedir ou de controlar as preocupações	Difficulté à se détendre	0
Não ser capaz de impedir ou de controlar as preocupações	Agitation telle qu’il est difficile de rester tranquille	0
Não ser capaz de impedir ou de controlar as preocupações	Devenir facilement contrarié(e) ou irritable	0
Não ser capaz de impedir ou de controlar as preocupações	Avoir peur que quelque chose d’épouvantable puisse arriver	0
Não ser capaz de impedir ou de controlar as preocupações	Nervosität, Ängstlichkeit oder Anspannung	0
Não ser capaz de impedir ou de controlar as preocupações	Nicht in der Lage sein, Sorgen zu stoppen oder zu kontrollieren	1
Não ser capaz de impedir ou de controlar as preocupações	Übermäßige Sorgen bezüglich verschiedener Angelegenheiten	0
Não ser capaz de impedir ou de controlar as preocupações	Schwierigkeiten zu entspannen	0
Não ser capaz de impedir ou de controlar as preocupações	Rastlosigkeit, so dass Stillsitzen schwer fällt	0
Não ser capaz de impedir ou de controlar as preocupações	Schnelle Verärgerung oder Gereiztheit	0
Não ser capaz de impedir ou de controlar as preocupações	Gefühl der Angst, so als würde etwas Schlimmes passieren	0
Não ser capaz de impedir ou de controlar as preocupações	Sentirse nervioso/a, intranquilo/a o con los nervios de punta	0
Não ser capaz de impedir ou de controlar as preocupações	No poder dejar de preocuparse o no poder controlar la preocupación	1
Não ser capaz de impedir ou de controlar as preocupações	Preocuparse demasiado por diferentes cosas	0
Não ser capaz de impedir ou de controlar as preocupações	Dificultad para relajarse	0
Não ser capaz de impedir ou de controlar as preocupações	Estar tan inquieto/a que es difícil permanecer sentado/a tranquilamente	0
Não ser capaz de impedir ou de controlar as preocupações	Molestarse o ponerse irritable fácilmente	0
Não ser capaz de impedir ou de controlar as preocupações	Sentir miedo como si algo terrible pudiera pasar	0
Não ser capaz de impedir ou de controlar as preocupações	Вы нервничали, тревожились или испытывали сильный стресс	0
Não ser capaz de impedir ou de controlar as preocupações	Вы были неспособны успокоиться или контролировать свое волнение	1
Não ser capaz de impedir ou de controlar as preocupações	Вы слишком сильно волновались по различным поводам	0
Não ser capaz de impedir ou de controlar as preocupações	Вам было трудно расслабиться	0
Não ser capaz de impedir ou de controlar as preocupações	Вы были настолько суетливы, что Вам было тяжело усидеть на месте	0
Não ser capaz de impedir ou de controlar as preocupações	Вы легко злились или раздражались	0
Não ser capaz de impedir ou de controlar as preocupações	Вы испытывали страх, словно должно произойти нечто ужасное	0
Não ser capaz de impedir ou de controlar as preocupações	感觉紧张、焦虑或不安	0
Não ser capaz de impedir ou de controlar as preocupações	无法停止或控制担忧	1
Não ser capaz de impedir ou de controlar as preocupações	对各种事情担心太多 	0
Não ser capaz de impedir ou de controlar as preocupações	难以放松 	0
Não ser capaz de impedir ou de controlar as preocupações	坐立不安，以至于很难安静地坐下来	0
Não ser capaz de impedir ou de controlar as preocupações	变得容易生气或急躁 	0
Não ser capaz de impedir ou de controlar as preocupações	感觉害怕，好像有可怕的事情要发生一样	0
Não ser capaz de impedir ou de controlar as preocupações	Senuagtig, angstig of gespanne gevoel	0
Não ser capaz de impedir ou de controlar as preocupações	Kon nie ophou om bekommerd te wees nie	1
Não ser capaz de impedir ou de controlar as preocupações	Oormatig bekommerd oor verskillende goed	0
Não ser capaz de impedir ou de controlar as preocupações	Sukkel om te ontspan	0
Não ser capaz de impedir ou de controlar as preocupações	Só rusteloos dat dit moeilik is om stil te sit	0
Não ser capaz de impedir ou de controlar as preocupações	Raak maklik vies of geïrriteerd	0
Não ser capaz de impedir ou de controlar as preocupações	Voel bang asof iets aakligs kan gebeur 	0
Não ser capaz de impedir ou de controlar as preocupações	Gibati og nerbiyos, kabalaka, o kahadlok	0
Não ser capaz de impedir ou de controlar as preocupações	Dili makahunong o makakontrol sa pagkabalaka	1
Não ser capaz de impedir ou de controlar as preocupações	Sobra nga nabalaka bahin sa lain-lain nga mga butang	0
Não ser capaz de impedir ou de controlar as preocupações	Lisod pagkalma	0
Não ser capaz de impedir ou de controlar as preocupações	Nag-alindasay pag-ayo nga lisod pagpabilin nga maglingkod	0
Não ser capaz de impedir ou de controlar as preocupações	Nahimong dali maglagot o iritable	0
Não ser capaz de impedir ou de controlar as preocupações	Nahadlok nga basin naay dautan nga mahitabo 	0
Não ser capaz de impedir ou de controlar as preocupações	ತಳಮಳ, ಆತಂಕ ಅಥ ಾ ಬಹಳ ΅ಾತರದ ಅನುಭವ	0
Não ser capaz de impedir ou de controlar as preocupações	‷ಂ⁀ಸುವ⁳ದನುΊ ⁄⁌ῤಸಲು ಅಥ ಾ ⁄ಯಂ⁀ῢಸಲು ಧῡ ಾಗ⁂ರುವ⁳ದು	1
Não ser capaz de impedir ou de controlar as preocupações	⁧ೕ⁫ ⁧ೕ⁫ ⁎ಷಯಗಳ ಬ⁕Ὴ ಅ⁀ ಾ‵ ‷ಂ⁀ಸುವ⁳ದು	0
Não ser capaz de impedir ou de controlar as preocupações	⁄ ಾಳ ಾ‵ರಲು ⁠ೂಂದ⁫	0
Não ser capaz de impedir ou de controlar as preocupações	ಒಂದು ಕ⁝ ⁑Ῐರ ಾ‵ ಕು⁍ತು⁓ೂಳῥಲೂ ಆಗದಷುῒ ಚಡಪ‽ಸುವ⁳ದು	0
Não ser capaz de impedir ou de controlar as preocupações	ಸುಲಭ ಾ‵ ⁓ೂೕಪ⁕ೂಳುῥವ⁳ದು ಅಥ ಾ ″⁋″⁋ ಾಗುವ⁳ದು	0
Não ser capaz de impedir ou de controlar as preocupações	ಏ῿ಾದರೂ ಅ῿ಾಹುತ ಸಂಭ⁎ಸುತῗ⁢ ಎಂದು ⁲ದರುವ⁳ದು	0
Não ser capaz de impedir ou de controlar as preocupações	הרגשתי עצבני, חרד או מתוח מאוד	0
Não ser capaz de impedir ou de controlar as preocupações	לא הייתי מסוגל להפסיק לדאוג או לשלוט בדאגה	1
Não ser capaz de impedir ou de controlar as preocupações	הייתי מודאג יותר מידי בנוגע לדברים שונים	0
Não ser capaz de impedir ou de controlar as preocupações	התקשיתי להירגע	0
Não ser capaz de impedir ou de controlar as preocupações	הייתי כל כך חסר מנוחה שהיה לי קשה לשבת מבלי לנוע	0
Não ser capaz de impedir ou de controlar as preocupações	הייתי מתעצבן או מתרגז בקלות	0
Não ser capaz de impedir ou de controlar as preocupações	פחדתי כאילו משהו נורא עלול לקרות	0
Não ser capaz de impedir ou de controlar as preocupações	Følt deg nervøs, engstelig eller veldig stresset	0
Não ser capaz de impedir ou de controlar as preocupações	Ikke klart å slutte å bekymre deg eller kontrolleren bekymringene dine	1
Não ser capaz de impedir ou de controlar as preocupações	Bekymret deg for mye om ulike ting	0
Não ser capaz de impedir ou de controlar as preocupações	Vansker med å slappe av	0
Não ser capaz de impedir ou de controlar as preocupações	Vært så rastløs at det har vært vanskelig å sitte stille	0
Não ser capaz de impedir ou de controlar as preocupações	Blitt lett sint eller irritert	0
Não ser capaz de impedir ou de controlar as preocupações	Følt deg redd som om noe forferdelig kunne komme til å skje	0
Preocupar-se muito com diversas coisas	Dificuldade para relaxar	0
Preocupar-se muito com diversas coisas	Ficar tão agitado/a que se torna difícil permanecer sentado/a	0
Preocupar-se muito com diversas coisas	Ficar facilmente aborrecido/a ou irritado/a	0
Preocupar-se muito com diversas coisas	Sentir medo como se algo horrível fosse acontecer	0
Preocupar-se muito com diversas coisas	Feeling nervous, anxious, or on edge	0
Preocupar-se muito com diversas coisas	Not being able to stop or control worrying	0
Preocupar-se muito com diversas coisas	Worrying too much about different things	1
Preocupar-se muito com diversas coisas	Trouble relaxing	0
Preocupar-se muito com diversas coisas	Being so restless that it is hard to sit still	0
Preocupar-se muito com diversas coisas	Becoming easily annoyed or irritable	0
Preocupar-se muito com diversas coisas	Feeling afraid, as if something awful might happen	0
Preocupar-se muito com diversas coisas	Sentiment de nervosité, d’anxiété ou de tension	0
Preocupar-se muito com diversas coisas	Incapable d’arrêter de vous inquiéter ou de contrôler vos inquiétudes	0
Preocupar-se muito com diversas coisas	Inquiétudes excessives à propos de tout et de rien	1
Preocupar-se muito com diversas coisas	Difficulté à se détendre	0
Preocupar-se muito com diversas coisas	Agitation telle qu’il est difficile de rester tranquille	0
Preocupar-se muito com diversas coisas	Devenir facilement contrarié(e) ou irritable	0
Preocupar-se muito com diversas coisas	Avoir peur que quelque chose d’épouvantable puisse arriver	0
Preocupar-se muito com diversas coisas	Nervosität, Ängstlichkeit oder Anspannung	0
Preocupar-se muito com diversas coisas	Nicht in der Lage sein, Sorgen zu stoppen oder zu kontrollieren	0
Preocupar-se muito com diversas coisas	Übermäßige Sorgen bezüglich verschiedener Angelegenheiten	1
Preocupar-se muito com diversas coisas	Schwierigkeiten zu entspannen	0
Preocupar-se muito com diversas coisas	Rastlosigkeit, so dass Stillsitzen schwer fällt	0
Preocupar-se muito com diversas coisas	Schnelle Verärgerung oder Gereiztheit	0
Preocupar-se muito com diversas coisas	Gefühl der Angst, so als würde etwas Schlimmes passieren	0
Preocupar-se muito com diversas coisas	Sentirse nervioso/a, intranquilo/a o con los nervios de punta	0
Preocupar-se muito com diversas coisas	No poder dejar de preocuparse o no poder controlar la preocupación	0
Preocupar-se muito com diversas coisas	Preocuparse demasiado por diferentes cosas	1
Preocupar-se muito com diversas coisas	Dificultad para relajarse	0
Preocupar-se muito com diversas coisas	Estar tan inquieto/a que es difícil permanecer sentado/a tranquilamente	0
Preocupar-se muito com diversas coisas	Molestarse o ponerse irritable fácilmente	0
Preocupar-se muito com diversas coisas	Sentir miedo como si algo terrible pudiera pasar	0
Preocupar-se muito com diversas coisas	Вы нервничали, тревожились или испытывали сильный стресс	0
Preocupar-se muito com diversas coisas	Вы были неспособны успокоиться или контролировать свое волнение	0
Preocupar-se muito com diversas coisas	Вы слишком сильно волновались по различным поводам	1
Preocupar-se muito com diversas coisas	Вам было трудно расслабиться	0
Preocupar-se muito com diversas coisas	Вы были настолько суетливы, что Вам было тяжело усидеть на месте	0
Preocupar-se muito com diversas coisas	Вы легко злились или раздражались	0
Preocupar-se muito com diversas coisas	Вы испытывали страх, словно должно произойти нечто ужасное	0
Preocupar-se muito com diversas coisas	感觉紧张、焦虑或不安	0
Preocupar-se muito com diversas coisas	无法停止或控制担忧	0
Preocupar-se muito com diversas coisas	对各种事情担心太多 	1
Preocupar-se muito com diversas coisas	难以放松 	0
Preocupar-se muito com diversas coisas	坐立不安，以至于很难安静地坐下来	0
Preocupar-se muito com diversas coisas	变得容易生气或急躁 	0
Preocupar-se muito com diversas coisas	感觉害怕，好像有可怕的事情要发生一样	0
Preocupar-se muito com diversas coisas	Senuagtig, angstig of gespanne gevoel	0
Preocupar-se muito com diversas coisas	Kon nie ophou om bekommerd te wees nie	0
Preocupar-se muito com diversas coisas	Oormatig bekommerd oor verskillende goed	1
Preocupar-se muito com diversas coisas	Sukkel om te ontspan	0
Preocupar-se muito com diversas coisas	Só rusteloos dat dit moeilik is om stil te sit	0
Preocupar-se muito com diversas coisas	Raak maklik vies of geïrriteerd	0
Preocupar-se muito com diversas coisas	Voel bang asof iets aakligs kan gebeur 	0
Preocupar-se muito com diversas coisas	Gibati og nerbiyos, kabalaka, o kahadlok	0
Preocupar-se muito com diversas coisas	Dili makahunong o makakontrol sa pagkabalaka	0
Preocupar-se muito com diversas coisas	Sobra nga nabalaka bahin sa lain-lain nga mga butang	1
Preocupar-se muito com diversas coisas	Lisod pagkalma	0
Preocupar-se muito com diversas coisas	Nag-alindasay pag-ayo nga lisod pagpabilin nga maglingkod	0
Preocupar-se muito com diversas coisas	Nahimong dali maglagot o iritable	0
Preocupar-se muito com diversas coisas	Nahadlok nga basin naay dautan nga mahitabo 	0
Preocupar-se muito com diversas coisas	ತಳಮಳ, ಆತಂಕ ಅಥ ಾ ಬಹಳ ΅ಾತರದ ಅನುಭವ	0
Preocupar-se muito com diversas coisas	‷ಂ⁀ಸುವ⁳ದನುΊ ⁄⁌ῤಸಲು ಅಥ ಾ ⁄ಯಂ⁀ῢಸಲು ಧῡ ಾಗ⁂ರುವ⁳ದು	0
Preocupar-se muito com diversas coisas	⁧ೕ⁫ ⁧ೕ⁫ ⁎ಷಯಗಳ ಬ⁕Ὴ ಅ⁀ ಾ‵ ‷ಂ⁀ಸುವ⁳ದು	1
Preocupar-se muito com diversas coisas	⁄ ಾಳ ಾ‵ರಲು ⁠ೂಂದ⁫	0
Preocupar-se muito com diversas coisas	ಒಂದು ಕ⁝ ⁑Ῐರ ಾ‵ ಕು⁍ತು⁓ೂಳῥಲೂ ಆಗದಷುῒ ಚಡಪ‽ಸುವ⁳ದು	0
Preocupar-se muito com diversas coisas	ಸುಲಭ ಾ‵ ⁓ೂೕಪ⁕ೂಳುῥವ⁳ದು ಅಥ ಾ ″⁋″⁋ ಾಗುವ⁳ದು	0
Preocupar-se muito com diversas coisas	ಏ῿ಾದರೂ ಅ῿ಾಹುತ ಸಂಭ⁎ಸುತῗ⁢ ಎಂದು ⁲ದರುವ⁳ದು	0
Preocupar-se muito com diversas coisas	הרגשתי עצבני, חרד או מתוח מאוד	0
Preocupar-se muito com diversas coisas	לא הייתי מסוגל להפסיק לדאוג או לשלוט בדאגה	0
Preocupar-se muito com diversas coisas	הייתי מודאג יותר מידי בנוגע לדברים שונים	1
Preocupar-se muito com diversas coisas	התקשיתי להירגע	0
Preocupar-se muito com diversas coisas	הייתי כל כך חסר מנוחה שהיה לי קשה לשבת מבלי לנוע	0
Preocupar-se muito com diversas coisas	הייתי מתעצבן או מתרגז בקלות	0
Preocupar-se muito com diversas coisas	פחדתי כאילו משהו נורא עלול לקרות	0
Preocupar-se muito com diversas coisas	Følt deg nervøs, engstelig eller veldig stresset	0
Preocupar-se muito com diversas coisas	Ikke klart å slutte å bekymre deg eller kontrolleren bekymringene dine	0
Preocupar-se muito com diversas coisas	Bekymret deg for mye om ulike ting	1
Preocupar-se muito com diversas coisas	Vansker med å slappe av	0
Preocupar-se muito com diversas coisas	Vært så rastløs at det har vært vanskelig å sitte stille	0
Preocupar-se muito com diversas coisas	Blitt lett sint eller irritert	0
Preocupar-se muito com diversas coisas	Følt deg redd som om noe forferdelig kunne komme til å skje	0
Dificuldade para relaxar	Ficar tão agitado/a que se torna difícil permanecer sentado/a	0
Dificuldade para relaxar	Ficar facilmente aborrecido/a ou irritado/a	0
Dificuldade para relaxar	Sentir medo como se algo horrível fosse acontecer	0
Dificuldade para relaxar	Feeling nervous, anxious, or on edge	0
Dificuldade para relaxar	Not being able to stop or control worrying	0
Dificuldade para relaxar	Worrying too much about different things	0
Dificuldade para relaxar	Trouble relaxing	1
Dificuldade para relaxar	Being so restless that it is hard to sit still	0
Dificuldade para relaxar	Becoming easily annoyed or irritable	0
Dificuldade para relaxar	Feeling afraid, as if something awful might happen	0
Dificuldade para relaxar	Sentiment de nervosité, d’anxiété ou de tension	0
Dificuldade para relaxar	Incapable d’arrêter de vous inquiéter ou de contrôler vos inquiétudes	0
Dificuldade para relaxar	Inquiétudes excessives à propos de tout et de rien	0
Dificuldade para relaxar	Difficulté à se détendre	1
Dificuldade para relaxar	Agitation telle qu’il est difficile de rester tranquille	0
Dificuldade para relaxar	Devenir facilement contrarié(e) ou irritable	0
Dificuldade para relaxar	Avoir peur que quelque chose d’épouvantable puisse arriver	0
Dificuldade para relaxar	Nervosität, Ängstlichkeit oder Anspannung	0
Dificuldade para relaxar	Nicht in der Lage sein, Sorgen zu stoppen oder zu kontrollieren	0
Dificuldade para relaxar	Übermäßige Sorgen bezüglich verschiedener Angelegenheiten	0
Dificuldade para relaxar	Schwierigkeiten zu entspannen	1
Dificuldade para relaxar	Rastlosigkeit, so dass Stillsitzen schwer fällt	0
Dificuldade para relaxar	Schnelle Verärgerung oder Gereiztheit	0
Dificuldade para relaxar	Gefühl der Angst, so als würde etwas Schlimmes passieren	0
Dificuldade para relaxar	Sentirse nervioso/a, intranquilo/a o con los nervios de punta	0
Dificuldade para relaxar	No poder dejar de preocuparse o no poder controlar la preocupación	0
Dificuldade para relaxar	Preocuparse demasiado por diferentes cosas	0
Dificuldade para relaxar	Dificultad para relajarse	1
Dificuldade para relaxar	Estar tan inquieto/a que es difícil permanecer sentado/a tranquilamente	0
Dificuldade para relaxar	Molestarse o ponerse irritable fácilmente	0
Dificuldade para relaxar	Sentir miedo como si algo terrible pudiera pasar	0
Dificuldade para relaxar	Вы нервничали, тревожились или испытывали сильный стресс	0
Dificuldade para relaxar	Вы были неспособны успокоиться или контролировать свое волнение	0
Dificuldade para relaxar	Вы слишком сильно волновались по различным поводам	0
Dificuldade para relaxar	Вам было трудно расслабиться	1
Dificuldade para relaxar	Вы были настолько суетливы, что Вам было тяжело усидеть на месте	0
Dificuldade para relaxar	Вы легко злились или раздражались	0
Dificuldade para relaxar	Вы испытывали страх, словно должно произойти нечто ужасное	0
Dificuldade para relaxar	感觉紧张、焦虑或不安	0
Dificuldade para relaxar	无法停止或控制担忧	0
Dificuldade para relaxar	对各种事情担心太多 	0
Dificuldade para relaxar	难以放松 	1
Dificuldade para relaxar	坐立不安，以至于很难安静地坐下来	0
Dificuldade para relaxar	变得容易生气或急躁 	0
Dificuldade para relaxar	感觉害怕，好像有可怕的事情要发生一样	0
Dificuldade para relaxar	Senuagtig, angstig of gespanne gevoel	0
